"country_region","date","doses_admin","people_partially_vaccinated","people_fully_vaccinated","report_date_string","uid","province_state"
"Afghanistan",2021-02-22,0,0,0,2021-02-22,4,NA
"Afghanistan",2021-02-23,0,0,0,2021-02-23,4,NA
"Afghanistan",2021-02-24,0,0,0,2021-02-24,4,NA
"Afghanistan",2021-02-25,0,0,0,2021-02-25,4,NA
"Afghanistan",2021-02-26,0,0,0,2021-02-26,4,NA
"Afghanistan",2021-02-27,0,0,0,2021-02-27,4,NA
"Afghanistan",2021-02-28,8200,8200,0,2021-02-28,4,NA
"Afghanistan",2021-03-01,8200,8200,0,2021-03-01,4,NA
"Afghanistan",2021-03-02,8200,8200,0,2021-03-02,4,NA
"Afghanistan",2021-03-03,8200,8200,0,2021-03-03,4,NA
"Afghanistan",2021-03-04,8200,8200,0,2021-03-04,4,NA
"Afghanistan",2021-03-05,8200,8200,0,2021-03-05,4,NA
"Afghanistan",2021-03-06,8200,8200,0,2021-03-06,4,NA
"Afghanistan",2021-03-07,8200,8200,0,2021-03-07,4,NA
"Afghanistan",2021-03-08,8200,8200,0,2021-03-08,4,NA
"Afghanistan",2021-03-09,8200,8200,0,2021-03-09,4,NA
"Afghanistan",2021-03-10,8200,8200,0,2021-03-10,4,NA
"Afghanistan",2021-03-11,8200,8200,0,2021-03-11,4,NA
"Afghanistan",2021-03-12,8200,8200,0,2021-03-12,4,NA
"Afghanistan",2021-03-13,8200,8200,0,2021-03-13,4,NA
"Afghanistan",2021-03-14,8200,8200,0,2021-03-14,4,NA
"Afghanistan",2021-03-15,8200,8200,0,2021-03-15,4,NA
"Afghanistan",2021-03-16,54000,54000,0,2021-03-16,4,NA
"Afghanistan",2021-03-17,54000,54000,0,2021-03-17,4,NA
"Afghanistan",2021-03-18,54000,54000,0,2021-03-18,4,NA
"Afghanistan",2021-03-19,54000,54000,0,2021-03-19,4,NA
"Afghanistan",2021-03-20,54000,54000,0,2021-03-20,4,NA
"Afghanistan",2021-03-21,54000,54000,0,2021-03-21,4,NA
"Afghanistan",2021-03-22,54000,54000,0,2021-03-22,4,NA
"Afghanistan",2021-03-23,54000,54000,0,2021-03-23,4,NA
"Afghanistan",2021-03-24,54000,54000,0,2021-03-24,4,NA
"Afghanistan",2021-03-25,54000,54000,0,2021-03-25,4,NA
"Afghanistan",2021-03-26,54000,54000,0,2021-03-26,4,NA
"Afghanistan",2021-03-27,54000,54000,0,2021-03-27,4,NA
"Afghanistan",2021-03-28,54000,54000,0,2021-03-28,4,NA
"Afghanistan",2021-03-29,54000,54000,0,2021-03-29,4,NA
"Afghanistan",2021-03-30,54000,54000,0,2021-03-30,4,NA
"Afghanistan",2021-03-31,54000,54000,0,2021-03-31,4,NA
"Afghanistan",2021-04-01,54000,54000,0,2021-04-01,4,NA
"Afghanistan",2021-04-02,54000,54000,0,2021-04-02,4,NA
